,chip,y,x,n_cells,label
452,0,5833.39164658823,16514.022924184133,3,453.0
453,0,5833.783007566692,17046.168798873772,1,454.0
454,0,5831.53517328664,17572.645250468806,5,455.0
455,0,5830.52056614046,18109.10001981859,3,456.0
456,0,5829.502960601282,18638.59950378208,3,457.0
457,0,5827.954223195694,19172.07837046301,4,458.0
458,0,5827.079476505018,19712.38505167711,5,459.0
459,0,5825.550646638516,20244.879709405177,3,460.0
460,0,5824.787670129925,20778.5885528553,5,461.0
461,0,6304.923033954803,798.8261188534107,2,462.0
462,0,6306.87697953046,1329.902039010778,3,463.0
463,0,6304.888294259356,1862.7174507982047,1,464.0
464,0,6300.950489403717,2392.119337775046,5,465.0
465,0,6304.05874624599,2925.4855850415697,0,466.0
466,0,6303.329543327329,3462.1788191599217,4,467.0
467,0,6302.070720131175,3987.712667489061,1,468.0
468,0,6301.57988966623,4528.126476948011,3,469.0
469,0,6300.580414551672,5053.661221194384,7,470.0
470,0,6299.03465014464,5590.6078889471255,4,471.0
471,0,6297.905279888655,6116.018121741651,2,472.0
472,0,6296.609403073868,6652.450709060973,1,473.0
473,0,6295.46239372003,7186.067074839619,1,474.0
474,0,6294.464708571732,7719.037059373775,2,475.0
475,0,6293.53782322781,8255.358212304702,1,476.0
476,0,6292.041218605178,8777.68010342736,6,477.0
477,0,6290.894777836202,9311.031949839444,7,478.0
478,0,6289.748874648656,9844.13370042854,4,479.0
479,0,6288.870066920074,10376.978077872853,3,480.0
480,0,6287.965426161812,10913.80206641024,4,481.0
481,0,6286.443386258904,11450.749313497445,0,482.0
482,0,6285.2890347765615,11983.335715614385,4,483.0
483,0,6284.432062923395,12512.718478104804,3,484.0
484,0,6283.444336908455,13038.507776204551,1,485.0
485,0,6281.879373773202,13571.48554749569,6,486.0
486,0,6281.0087126375,14104.843253859588,2,487.0
487,0,6279.428869981826,14645.248326658722,2,488.0
488,0,6278.442598834098,15170.525914458634,2,489.0
489,0,6277.145045751931,15707.738341719043,1,490.0
490,0,6275.9853318655205,16247.265161914118,1,491.0
491,0,6274.845257231638,16777.655329015106,3,492.0
492,0,6273.85292781114,17310.8904157703,2,493.0
493,0,6272.554554368922,17843.345449668293,5,494.0
494,0,6271.415529814198,18373.247094664523,2,495.0
495,0,6270.261644481452,18910.06233137149,1,496.0
496,0,6269.116280642784,19442.913163877485,5,497.0
497,0,6267.969838106358,19976.26583254968,3,498.0
498,0,6266.664098760279,20517.456631433983,6,499.0
499,0,6265.820560738433,21042.601913484792,0,500.0
